Student ID,1,1_Score,2,2_Score,3,3_Score,4,4_Score,5,5_Score,6,6_Score,7,7_Score,8,8_Score,9,9_Score,10,10_Score,11,11_Score,12,12_Score,13,13_Score,14,14_Score,Final Score
028,D,1,C,1,B,1,Not Detected!,Not Detected!,A,1,Not Detected!,Not Detected!,B,0,C,1,Not Detected!,Not Detected!,B,1,A,1,A,1,B,1,B,0,9
413,D,1,C,1,D,0,Not Detected!,Not Detected!,A,1,B,1,D,0,,0,D,1,Not Detected!,Not Detected!,A,1,,0,B,1,D,1,8
418,D,1,C,1,B,1,C,1,A,1,B,1,A,1,C,1,D,1,B,1,A,1,A,1,B,1,D,1,14
739,D,1,C,1,B,1,C,1,,0,B,1,A,1,C,1,D,1,B,1,A,1,A,1,B,1,C,0,12
457,D,1,C,1,B,1,C,1,A,1,B,1,A,1,C,1,Not Detected!,Not Detected!,B,1,Not Detected!,Not Detected!,A,1,B,1,C,0,11
839,D,1,C,1,B,1,C,1,A,1,B,1,A,1,C,1,Not Detected!,Not Detected!,B,1,Not Detected!,Not Detected!,A,1,B,1,D,1,12
411,D,1,C,1,B,1,C,1,A,1,B,1,A,1,C,1,D,1,C,0,A,1,A,1,B,1,A,0,12
467,D,1,C,1,B,1,C,1,A,1,Not Detected!,Not Detected!,D,0,B,0,Not Detected!,Not Detected!,Not Detected!,Not Detected!,Not Detected!,Not Detected!,A,1,B,1,C,0,7
472,D,1,A,0,B,1,A,0,A,1,B,1,D,0,C,1,D,1,B,1,Not Detected!,Not Detected!,A,1,B,1,C,0,9
468,D,1,C,1,B,1,A,0,A,1,B,1,C,0,C,1,D,1,C,0,A,1,A,1,B,1,C,0,10
421,D,1,C,1,B,1,C,1,A,1,B,1,C,0,C,1,Not Detected!,Not Detected!,,0,A,1,A,1,B,1,D,1,11
465,D,1,,0,C,0,,0,A,1,B,1,A,1,C,1,D,1,D,0,,0,,0,B,1,,0,7
3,D,1,C,1,B,1,A,0,A,1,B,1,B,0,C,1,Not Detected!,Not Detected!,B,1,A,1,A,1,B,1,C,0,10
271,D,1,C,1,B,1,C,1,A,1,B,1,A,1,Not Detected!,Not Detected!,D,1,C,0,A,1,A,1,B,1,D,1,12
014,D,1,C,1,B,1,C,1,A,1,B,1,A,1,C,1,D,1,C,0,A,1,A,1,B,1,D,1,13
461,D,1,C,1,B,1,Not Detected!,Not Detected!,A,1,B,1,A,1,C,1,Not Detected!,Not Detected!,Not Detected!,Not Detected!,Not Detected!,Not Detected!,C,0,B,1,D,1,9
481,D,1,C,1,B,1,C,1,A,1,B,1,B,0,C,1,D,1,B,1,A,1,B,0,B,1,D,1,12
431,D,1,C,1,B,1,C,1,A,1,Not Detected!,Not Detected!,A,1,C,1,D,1,B,1,A,1,A,1,,0,D,1,12
913,D,1,C,1,B,1,A,0,A,1,B,1,B,0,C,1,D,1,B,1,A,1,B,0,B,1,C,0,10
419,D,1,C,1,B,1,C,1,A,1,C,0,A,1,C,1,D,1,,0,D,0,C,0,B,1,D,1,10
452,D,1,C,1,B,1,C,1,A,1,B,1,A,1,C,1,D,1,B,1,A,1,A,1,B,1,D,1,14
417,D,1,C,1,B,1,C,1,A,1,B,1,A,1,C,1,Not Detected!,Not Detected!,Not Detected!,Not Detected!,A,1,A,1,B,1,D,1,12
414,D,1,C,1,B,1,C,1,A,1,B,1,A,1,C,1,D,1,Not Detected!,Not Detected!,A,1,A,1,B,1,D,1,13
411,D,1,C,1,B,1,C,1,A,1,Not Detected!,Not Detected!,A,1,C,1,Not Detected!,Not Detected!,Not Detected!,Not Detected!,A,1,A,1,B,1,D,1,11
448,D,1,C,1,B,1,Not Detected!,Not Detected!,A,1,B,1,A,1,C,1,D,1,B,1,Not Detected!,Not Detected!,C,0,B,1,D,1,11
430,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
47,,0,,0,,0,,0,,0,,0,,0,,0,Not Detected!,Not Detected!,,0,,0,,0,,0,,0,0
113,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
